City#,CityId,Query
426,1120426,"Buenos Aires, Cauca, Colombia"
427,1120427,"Caloto, Cauca, Colombia"
428,1120428,"Corinto, Cauca, Colombia"
429,1120429,"Guachené, Cauca, Colombia"
430,1120430,"Miranda, Cauca, Colombia"
431,1120431,"Padilla, Cauca, Colombia"
432,1120432,"Puerto Tejada, Cauca, Colombia"
433,1120433,"Santander de Quilichao, Cauca, Colombia"
434,1120434,"Suárez, Cauca, Colombia"
435,1120435,"Villa Rica, Cauca, Colombia"
436,1120436,"Cajibío, Cauca, Colombia"
437,1120437,"El Tambo, Cauca, Colombia"
438,1120438,"La Sierra, Cauca, Colombia"
439,1120439,"Morales, Cauca, Colombia"
440,1120440,"Piendamó, Cauca, Colombia"
441,1120441,"Popayán, Cauca, Colombia"
442,1120442,"Rosas, Cauca, Colombia"
443,1120443,"Sotará, Cauca, Colombia"
444,1120444,"Timbío, Cauca, Colombia"
445,1120445,"Almaguer, Cauca, Colombia"
446,1120446,"Argelia, Cauca, Colombia"
447,1120447,"Balboa, Cauca, Colombia"
448,1120448,"Bolívar, Cauca, Colombia"
449,1120449,"Florencia, Cauca, Colombia"
450,1120450,"La Vega, Cauca, Colombia"
451,1120451,"Mercaderes, Cauca, Colombia"
452,1120452,"Patía, Cauca, Colombia"
453,1120453,"Piamonte, Cauca, Colombia"
454,1120454,"San Sebastián, Cauca, Colombia"
455,1120455,"Santa Rosa, Cauca, Colombia"
456,1120456,"Sucre, Cauca, Colombia"
457,1120457,"Guapí, Cauca, Colombia"
458,1120458,"López de Micay, Cauca, Colombia"
459,1120459,"Timbiquí, Cauca, Colombia"
460,1120460,"Caldono, Cauca, Colombia"
461,1120461,"Inzá, Cauca, Colombia"
462,1120462,"Jambaló, Cauca, Colombia"
463,1120463,"Páez, Cauca, Colombia"
464,1120464,"Puracé, Cauca, Colombia"
465,1120465,"Silvia, Cauca, Colombia"
466,1120466,"Toribío, Cauca, Colombia"
467,1120467,"Totoró, Cauca, Colombia"
468,1130468,"Valledupar, Cesar, Colombia"
469,1130469,"Aguachica, Cesar, Colombia"
470,1130470,"Agustín Codazzi, Cesar, Colombia"
471,1130471,"Bosconia, Cesar, Colombia"
472,1130472,"Chimichagua, Cesar, Colombia"
473,1130473,"El Copey, Cesar, Colombia"
474,1130474,"San Alberto, Cesar, Colombia"
475,1130475,"Curumaní, Cesar, Colombia"
476,1130476,"El Paso, Cesar, Colombia"
477,1130477,"La Paz, Cesar, Colombia"
478,1130478,"Pueblo Bello, Cesar, Colombia"
479,1130479,"La Jagua de Ibirico, Cesar, Colombia"
480,1130480,"Chiriguaná, Cesar, Colombia"
481,1130481,"Astrea, Cesar, Colombia"
482,1130482,"San Martín, Cesar, Colombia"
483,1130483,"Pelaya, Cesar, Colombia"
484,1130484,"Pailitas, Cesar, Colombia"
485,1130485,"Gamarra, Cesar, Colombia"
486,1130486,"Manaure Balcón del Cesar, Cesar, Colombia"
487,1130487,"Río de Oro, Cesar, Colombia"
488,1130488,"Tamalameque, Cesar, Colombia"
489,1130489,"Becerril, Cesar, Colombia"
490,1130490,"San Diego, Cesar, Colombia"
491,1130491,"La Gloria, Cesar, Colombia"
492,1130492,"González, Cesar, Colombia"
493,1130493,"Cesaró, Cesar, Colombia"
494,1140494,"Acandí, Chocó, Colombia"
495,1140495,"Alto Baudó, Chocó, Colombia"
496,1140496,"Atrato, Chocó, Colombia"
